2025/06/09-00:42:44.195682,1749397364.195054013,628
2025/06/09-00:42:44.296632,1749397364.295896623,735
2025/06/09-00:42:44.397823,1749397364.396783590,1039
2025/06/09-00:42:44.498539,1749397364.497968913,570
2025/06/09-00:42:44.599381,1749397364.598692590,689
2025/06/09-00:42:44.700108,1749397364.699516614,592
2025/06/09-00:42:44.801034,1749397364.800301712,732
2025/06/09-00:42:44.902475,1749397364.901186918,1288
2025/06/09-00:42:45.3462,1749397365.002623675,838
2025/06/09-00:42:45.104442,1749397365.103628205,814
2025/06/09-00:42:45.205324,1749397365.204590365,733
2025/06/09-00:42:45.306208,1749397365.305516849,691
2025/06/09-00:42:45.407963,1749397365.406336714,1626
2025/06/09-00:42:45.508691,1749397365.508094442,596
2025/06/09-00:42:45.609888,1749397365.608842905,1046
2025/06/09-00:42:45.710726,1749397365.710027302,699
2025/06/09-00:42:45.811501,1749397365.810869352,632
2025/06/09-00:42:45.912621,1749397365.911640410,981
2025/06/09-00:42:46.13482,1749397366.012775006,707
2025/06/09-00:42:46.114210,1749397366.113618275,592
2025/06/09-00:42:46.215149,1749397366.214364100,785
2025/06/09-00:42:46.315840,1749397366.315284310,556
2025/06/09-00:42:46.417180,1749397366.415981656,1199
2025/06/09-00:42:46.518019,1749397366.517364620,654
2025/06/09-00:42:46.618888,1749397366.618177889,710
2025/06/09-00:42:46.719598,1749397366.719017201,581
2025/06/09-00:42:46.820405,1749397366.819728866,676
2025/06/09-00:42:46.921366,1749397366.920546747,820
2025/06/09-00:42:47.22155,1749397367.021523605,632
2025/06/09-00:42:47.123229,1749397367.122287339,942
2025/06/09-00:42:47.223922,1749397367.223351332,570
2025/06/09-00:42:47.324605,1749397367.324042878,562
2025/06/09-00:42:47.425527,1749397367.424732861,794
2025/06/09-00:42:47.526212,1749397367.525660926,551
2025/06/09-00:42:47.626953,1749397367.626341562,611
2025/06/09-00:42:47.727695,1749397367.727088407,607
2025/06/09-00:42:47.828554,1749397367.827859987,694
2025/06/09-00:42:47.929415,1749397367.928689738,726
2025/06/09-00:42:48.30184,1749397368.029540377,644
2025/06/09-00:42:48.130892,1749397368.130312209,580
2025/06/09-00:42:48.232124,1749397368.231039484,1084
2025/06/09-00:42:48.333198,1749397368.332252264,946
2025/06/09-00:42:48.435512,1749397368.433323863,2188
2025/06/09-00:42:48.536436,1749397368.535647766,788
2025/06/09-00:42:48.637179,1749397368.636565492,614
2025/06/09-00:42:48.738672,1749397368.737318932,1353
2025/06/09-00:42:48.839593,1749397368.838820992,772
2025/06/09-00:42:48.940463,1749397368.939714484,748
2025/06/09-00:42:49.41367,1749397369.040600856,766
2025/06/09-00:42:49.142177,1749397369.141530815,646
2025/06/09-00:42:49.242947,1749397369.242321251,626
2025/06/09-00:42:49.343701,1749397369.343082915,618
2025/06/09-00:42:49.444854,1749397369.443836645,1018
2025/06/09-00:42:49.545566,1749397369.544985644,581
2025/06/09-00:42:49.649374,1749397369.645681878,3692
2025/06/09-00:42:49.750040,1749397369.749508680,531
2025/06/09-00:42:49.850734,1749397369.850163427,571
2025/06/09-00:42:49.951395,1749397369.950851640,543
2025/06/09-00:42:50.52177,1749397370.051521161,656
2025/06/09-00:42:50.153288,1749397370.152300092,988
2025/06/09-00:42:50.253972,1749397370.253409216,562
2025/06/09-00:42:50.354751,1749397370.354099974,651
2025/06/09-00:42:50.455439,1749397370.454877625,561
2025/06/09-00:42:50.556255,1749397370.555590027,665
2025/06/09-00:42:50.657385,1749397370.656372618,1012
2025/06/09-00:42:50.758058,1749397370.757511720,546
2025/06/09-00:42:50.858740,1749397370.858195501,544
2025/06/09-00:42:50.959453,1749397370.958873562,579
2025/06/09-00:42:51.60116,1749397371.059576452,539
2025/06/09-00:42:51.161105,1749397371.160240331,864
2025/06/09-00:42:51.261869,1749397371.261242248,627
2025/06/09-00:42:51.362567,1749397371.362015027,552
2025/06/09-00:42:51.463874,1749397371.462680773,1194
2025/06/09-00:42:51.564549,1749397371.564012420,536
2025/06/09-00:42:51.665697,1749397371.664671715,1025
2025/06/09-00:42:51.766364,1749397371.765819841,545
2025/06/09-00:42:51.867123,1749397371.866486179,637
2025/06/09-00:42:51.967816,1749397371.967252349,564
2025/06/09-00:42:52.68564,1749397372.067965972,598
2025/06/09-00:42:52.169294,1749397372.168712706,581
2025/06/09-00:42:52.270012,1749397372.269441290,570
2025/06/09-00:42:52.370725,1749397372.370146082,579
2025/06/09-00:42:52.471379,1749397372.470852653,526
2025/06/09-00:42:52.572107,1749397372.571510986,596
2025/06/09-00:42:52.674195,1749397372.672228156,1967
2025/06/09-00:42:52.774891,1749397372.774322411,569
2025/06/09-00:42:52.875566,1749397372.875008667,557
2025/06/09-00:42:52.976260,1749397372.975711460,548
2025/06/09-00:42:53.77002,1749397373.076393947,608
2025/06/09-00:42:53.177717,1749397373.177126497,590
2025/06/09-00:42:53.278520,1749397373.277859735,660
2025/06/09-00:42:53.379271,1749397373.378648611,623
2025/06/09-00:42:53.479940,1749397373.479396222,544
2025/06/09-00:42:53.580616,1749397373.580060917,555
2025/06/09-00:42:53.681360,1749397373.680733064,627
2025/06/09-00:42:53.782059,1749397373.781500631,559
2025/06/09-00:42:53.882753,1749397373.882209519,543
2025/06/09-00:42:53.983771,1749397373.982874439,897
2025/06/09-00:42:54.84481,1749397374.083904296,577
2025/06/09-00:42:54.185261,1749397374.184619560,642
2025/06/09-00:42:54.286068,1749397374.285388062,680
2025/06/09-00:42:54.386807,1749397374.386197930,609
2025/06/09-00:42:54.487452,1749397374.486925359,527
2025/06/09-00:42:54.588174,1749397374.587587241,586
2025/06/09-00:42:54.692552,1749397374.688290108,4262
2025/06/09-00:42:54.793286,1749397374.792670959,615
2025/06/09-00:42:54.894026,1749397374.893468444,558
2025/06/09-00:42:54.994713,1749397374.994150681,563
2025/06/09-00:42:55.95477,1749397375.094874986,602
2025/06/09-00:42:55.196383,1749397375.195612088,771
2025/06/09-00:42:55.297131,1749397375.296505512,625
2025/06/09-00:42:55.397944,1749397375.397245481,699
2025/06/09-00:42:55.498704,1749397375.498096187,608
2025/06/09-00:42:55.600244,1749397375.598828400,1416
2025/06/09-00:42:55.701257,1749397375.700361364,896
2025/06/09-00:42:55.801913,1749397375.801370826,542
2025/06/09-00:42:55.902612,1749397375.902031521,580
2025/06/09-00:42:56.3286,1749397376.002728351,558
2025/06/09-00:42:56.104056,1749397376.103431664,624
2025/06/09-00:42:56.204778,1749397376.204192210,586
2025/06/09-00:42:56.305811,1749397376.304899256,912
2025/06/09-00:42:56.406446,1749397376.405925248,520
2025/06/09-00:42:56.507183,1749397376.506566226,617
2025/06/09-00:42:56.607862,1749397376.607298442,564
2025/06/09-00:42:56.708543,1749397376.707988164,555
2025/06/09-00:42:56.809327,1749397376.808672203,655
2025/06/09-00:42:56.910059,1749397376.909447038,612
2025/06/09-00:42:57.10808,1749397377.010188042,620
2025/06/09-00:42:57.111512,1749397377.110946124,566
2025/06/09-00:42:57.212505,1749397377.211651643,853
2025/06/09-00:42:57.313276,1749397377.312626170,650
2025/06/09-00:42:57.413978,1749397377.413387233,591
2025/06/09-00:42:57.514803,1749397377.514098904,704
2025/06/09-00:42:57.615993,1749397377.614924683,1068
2025/06/09-00:42:57.716630,1749397377.716108030,522
2025/06/09-00:42:57.817356,1749397377.816753879,602
2025/06/09-00:42:57.918013,1749397377.917475522,538
2025/06/09-00:42:58.18699,1749397378.018135873,563
2025/06/09-00:42:58.119464,1749397378.118826739,638
2025/06/09-00:42:58.220137,1749397378.219583057,554
2025/06/09-00:42:58.320896,1749397378.320271663,624
2025/06/09-00:42:58.421549,1749397378.421033697,515
2025/06/09-00:42:58.522292,1749397378.521685945,606
2025/06/09-00:42:58.622947,1749397378.622412243,535
2025/06/09-00:42:58.723916,1749397378.723065640,850
2025/06/09-00:42:58.824620,1749397378.824050342,570
2025/06/09-00:42:58.925425,1749397378.924775624,649
2025/06/09-00:42:59.26207,1749397379.025558563,649
2025/06/09-00:42:59.126953,1749397379.126330888,622
2025/06/09-00:42:59.227652,1749397379.227074724,577
2025/06/09-00:42:59.328332,1749397379.327797944,535
2025/06/09-00:42:59.429060,1749397379.428459067,601
2025/06/09-00:42:59.530113,1749397379.529184384,929
2025/06/09-00:42:59.630857,1749397379.630251552,606
2025/06/09-00:42:59.731591,1749397379.730978533,613
2025/06/09-00:42:59.832316,1749397379.831718303,598
2025/06/09-00:42:59.933099,1749397379.932446621,652
2025/06/09-00:43:00.33756,1749397380.033217817,538
2025/06/09-00:43:00.134484,1749397380.133908271,576
2025/06/09-00:43:00.235238,1749397380.234613704,625
2025/06/09-00:43:00.335911,1749397380.335361285,550
2025/06/09-00:43:00.436881,1749397380.436027705,854
2025/06/09-00:43:00.537616,1749397380.537047124,569
2025/06/09-00:43:00.638314,1749397380.637737937,576
2025/06/09-00:43:00.738960,1749397380.738429554,530
2025/06/09-00:43:00.839637,1749397380.839082002,555
2025/06/09-00:43:00.940424,1749397380.939777177,647
2025/06/09-00:43:01.41158,1749397381.040547961,610
2025/06/09-00:43:01.141866,1749397381.141288456,578
2025/06/09-00:43:01.242537,1749397381.241987816,550
2025/06/09-00:43:01.343212,1749397381.342658120,554
2025/06/09-00:43:01.443890,1749397381.443335731,554
2025/06/09-00:43:01.544670,1749397381.544025194,645
2025/06/09-00:43:01.646335,1749397381.644787942,1547
2025/06/09-00:43:01.747116,1749397381.746452267,663
2025/06/09-00:43:01.847826,1749397381.847241853,584
2025/06/09-00:43:01.948528,1749397381.947948993,579
2025/06/09-00:43:02.49316,1749397382.048646624,669
2025/06/09-00:43:02.150019,1749397382.149446220,573
2025/06/09-00:43:02.251057,1749397382.250140556,917
2025/06/09-00:43:02.351762,1749397382.351181033,581
2025/06/09-00:43:02.452401,1749397382.451855436,546
2025/06/09-00:43:02.553597,1749397382.552529183,1068
2025/06/09-00:43:02.660779,1749397382.653736925,7042
2025/06/09-00:43:02.761458,1749397382.760900943,557
2025/06/09-00:43:02.862434,1749397382.861582038,852
2025/06/09-00:43:02.963271,1749397382.962550802,720
2025/06/09-00:43:03.64448,1749397383.063391859,1056
2025/06/09-00:43:03.165252,1749397383.164583697,668
2025/06/09-00:43:03.265927,1749397383.265371025,556
2025/06/09-00:43:03.366931,1749397383.366043071,888
2025/06/09-00:43:03.467698,1749397383.467047724,650
2025/06/09-00:43:03.568774,1749397383.567820394,954
2025/06/09-00:43:03.670677,1749397383.668892307,1784
2025/06/09-00:43:03.771320,1749397383.770794456,526
2025/06/09-00:43:03.871996,1749397383.871439060,557
2025/06/09-00:43:03.972709,1749397383.972139043,570
2025/06/09-00:43:04.73482,1749397384.072842720,639
2025/06/09-00:43:04.174261,1749397384.173617530,644
2025/06/09-00:43:04.275157,1749397384.274397428,759
2025/06/09-00:43:04.376291,1749397384.375274116,1017
2025/06/09-00:43:04.477027,1749397384.476418089,608
2025/06/09-00:43:04.577665,1749397384.577148635,516
2025/06/09-00:43:04.678409,1749397384.677781411,627
2025/06/09-00:43:04.779333,1749397384.778528563,805
2025/06/09-00:43:04.880099,1749397384.879461672,637
2025/06/09-00:43:04.980742,1749397384.980210541,531
2025/06/09-00:43:05.81542,1749397385.080923352,618
2025/06/09-00:43:05.182238,1749397385.181665012,573
2025/06/09-00:43:05.282991,1749397385.282375890,615
2025/06/09-00:43:05.383631,1749397385.383106923,524
2025/06/09-00:43:05.484291,1749397385.483751006,540
2025/06/09-00:43:05.584976,1749397385.584409575,566
2025/06/09-00:43:05.685602,1749397385.685094035,507
2025/06/09-00:43:05.786290,1749397385.785721592,568
2025/06/09-00:43:05.886997,1749397385.886418019,579
2025/06/09-00:43:05.987657,1749397385.987116367,540
2025/06/09-00:43:06.88565,1749397386.087787633,777
2025/06/09-00:43:06.189347,1749397386.188685413,661
2025/06/09-00:43:06.290067,1749397386.289477500,589
2025/06/09-00:43:06.390811,1749397386.390207762,603
2025/06/09-00:43:06.491523,1749397386.490946842,576
2025/06/09-00:43:06.592243,1749397386.591647967,595
2025/06/09-00:43:06.693224,1749397386.692357509,866
2025/06/09-00:43:06.794126,1749397386.793345905,780
2025/06/09-00:43:06.894835,1749397386.894245263,590
2025/06/09-00:43:06.995549,1749397386.994955680,593
2025/06/09-00:43:07.96241,1749397387.095670598,571
2025/06/09-00:43:07.197217,1749397387.196374073,843
2025/06/09-00:43:07.297932,1749397387.297340210,592
2025/06/09-00:43:07.398610,1749397387.398048219,561
2025/06/09-00:43:07.499276,1749397387.498746843,529
2025/06/09-00:43:07.600284,1749397387.599393464,891
2025/06/09-00:43:07.701155,1749397387.700406575,749
2025/06/09-00:43:07.801866,1749397387.801284670,582
2025/06/09-00:43:07.902591,1749397387.902003627,587
2025/06/09-00:43:08.3326,1749397388.002714282,612
2025/06/09-00:43:08.104220,1749397388.103462627,757
2025/06/09-00:43:08.204880,1749397388.204349390,531
2025/06/09-00:43:08.305855,1749397388.305005243,849
2025/06/09-00:43:08.406493,1749397388.405968069,525
2025/06/09-00:43:08.507164,1749397388.506614622,549
2025/06/09-00:43:08.607867,1749397388.607292011,575
2025/06/09-00:43:08.708743,1749397388.707983854,760
2025/06/09-00:43:08.809446,1749397388.808865088,581
2025/06/09-00:43:08.910107,1749397388.909562231,545
2025/06/09-00:43:09.10829,1749397389.010221596,607
2025/06/09-00:43:09.111591,1749397389.110948812,642
2025/06/09-00:43:09.212604,1749397389.211725488,878
2025/06/09-00:43:09.313430,1749397389.312737437,692
2025/06/09-00:43:09.414079,1749397389.413542253,537
2025/06/09-00:43:09.514782,1749397389.514221738,560
2025/06/09-00:43:09.615482,1749397389.614898052,584
2025/06/09-00:43:09.716169,1749397389.715603319,566
2025/06/09-00:43:09.816829,1749397389.816297184,531
2025/06/09-00:43:09.917505,1749397389.916953545,552
2025/06/09-00:43:10.18269,1749397390.017636512,632
2025/06/09-00:43:10.118955,1749397390.118396613,558
2025/06/09-00:43:10.219673,1749397390.219085799,588
2025/06/09-00:43:10.320403,1749397390.319810955,592
2025/06/09-00:43:10.422646,1749397390.420519300,2127
2025/06/09-00:43:10.523350,1749397390.522774674,576
2025/06/09-00:43:10.624004,1749397390.623469412,534
2025/06/09-00:43:10.724706,1749397390.724120194,585
2025/06/09-00:43:10.825404,1749397390.824823068,581
2025/06/09-00:43:10.926086,1749397390.925526059,560
2025/06/09-00:43:11.26780,1749397391.026209327,571
2025/06/09-00:43:11.128133,1749397391.126915610,1217
2025/06/09-00:43:11.228831,1749397391.228255114,575
2025/06/09-00:43:11.329548,1749397391.328959058,589
2025/06/09-00:43:11.430254,1749397391.429676024,578
2025/06/09-00:43:11.530973,1749397391.530382322,591
2025/06/09-00:43:11.631675,1749397391.631126210,549
2025/06/09-00:43:11.732363,1749397391.731795704,567
2025/06/09-00:43:11.833363,1749397391.832488664,875
2025/06/09-00:43:11.934064,1749397391.933494203,569
2025/06/09-00:43:12.34743,1749397392.034184499,558
2025/06/09-00:43:12.135949,1749397392.134884561,1065
2025/06/09-00:43:12.236655,1749397392.236069027,586
2025/06/09-00:43:12.337410,1749397392.336776911,634
2025/06/09-00:43:12.438772,1749397392.437538863,1234
2025/06/09-00:43:12.539514,1749397392.538925184,589
2025/06/09-00:43:12.640205,1749397392.639635028,570
2025/06/09-00:43:12.740989,1749397392.740321723,667
2025/06/09-00:43:12.841694,1749397392.841122112,572
2025/06/09-00:43:12.942384,1749397392.941811797,572
2025/06/09-00:43:13.43065,1749397393.042519396,546
2025/06/09-00:43:13.143842,1749397393.143198222,644
2025/06/09-00:43:13.244541,1749397393.243968331,572
2025/06/09-00:43:13.345559,1749397393.344664841,894
2025/06/09-00:43:13.446217,1749397393.445685083,531
2025/06/09-00:43:13.546967,1749397393.546346757,620
2025/06/09-00:43:13.649594,1749397393.647098196,2496
2025/06/09-00:43:13.750327,1749397393.749725946,601
2025/06/09-00:43:13.851067,1749397393.850484454,583
2025/06/09-00:43:13.951784,1749397393.951189090,595
2025/06/09-00:43:14.52439,1749397394.051904297,534
2025/06/09-00:43:14.153237,1749397394.152571398,666
2025/06/09-00:43:14.253902,1749397394.253355998,546
2025/06/09-00:43:14.354768,1749397394.354026351,741
